episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,1.4646293113478936,0,0.9811654554473029,10,0.8807756393515148,0
1,1.9601575736626051,0,0.7944590912924873,10,0.9270873111448057,0
2,1.738570966655855,0,0.5180065035820007,10,0.869355926070793,0
3,2.0847864587181877,0,0.7140846418009864,10,0.9587724158486427,0
4,1.1520493910759861,0,0.7356579899787903,8,0.9042592667412025,0
5,0.5023728691846799,0,0.7805371284484863,5,0.8929478332317821,0
6,1.6773869574607678,0,0.6098213560051389,10,0.8529757856079254,0
7,1.533979460836414,0,0.5992501940992143,10,0.8142900093049379,0
8,2.064076320298217,0,0.5853690140777164,10,0.9534976264821595,0
9,0.4271716820171192,0,0.5377623960375786,5,0.8596413630223609,0
10,1.6934796522650417,0,0.7320256365670098,10,0.8571731075820259,0
11,2.0044469908446296,0,0.7817831536134084,10,0.9384110806073868,0
12,0.022445416517752337,0,0.5266401767730713,3,0.8410502921894131,0
13,68.40564662652727,0,0.4998624225457509,10,0.9602459732131376,1
14,1.3463324079679446,0,0.6727472444375356,10,0.7620697455234264,0
15,2.0352537617535753,0,0.5635461443000369,10,0.9452384351308586,0
16,0.9752471691860356,0,0.6495697647333145,5,0.9861951738626424,0
17,0.8784129937430779,0,0.6612357582364764,8,0.8239642161890556,0
18,0.22746577735825513,0,0.6965201000372568,7,0.664656537037293,0
19,71.9477451618671,0,0.6806358893712362,4,0.9989728111391157,1
20,1.723371566125543,0,0.6521188219388326,10,0.8653147787222062,0
21,1.706863010681873,0,0.4682037830352783,10,0.8603379943745754,0
22,0.8591702057044202,0,0.43933271169662474,6,0.9492851089529311,0
23,0.14355439422957417,0,0.5287742912769318,3,0.9261608648776731,0
24,0.7750723312387654,0,0.4167628809809685,9,0.7529689556113989,0
25,1.8490714166204878,0,0.47619884875085616,10,0.8981126389585586,0
26,-0.15476898905827247,0,0.5227412134408951,3,0.7134482530956803,0
27,1.8113085803184519,0,0.45643075307210285,10,0.8885107739025413,0
28,0.16684855766041756,0,0.48016051948070526,3,0.9423935067961318,0
29,1.2918355892402125,0,0.5679424603780111,7,0.9212011326508261,0
30,-0.2008202956343697,0,0.4208460971713066,3,0.6806917830647161,0
31,1.7953080940402812,0,0.5443159490823746,9,0.9418571191903674,0
32,1.3088481350140542,0,0.5287859406736162,10,0.7514563253451229,0
33,1.021295197888083,0,0.5852528661489487,9,0.7052014822628053,0
34,0.15060186047911828,0,0.8446690042813619,4,0.8117670528380648,0
35,1.618220734738208,0,0.6298651198546091,10,0.8368031347569638,0
36,1.4650912660628737,0,0.47936436865064835,10,0.8807828362869882,0
37,0.028514419305790017,0,0.6215419620275497,3,0.845344751246633,0
38,1.3569028834412913,0,0.573745662967364,10,0.7645249216035033,0
39,0.09203467630676448,0,0.6315925518671671,4,0.779279762061032,0
40,0.48688712442001647,0,0.4759715676307678,6,0.8107857804048005,0
41,1.027530211442663,0,0.4847922689384884,10,0.7779292044476196,0
42,0.21283404310843723,0,0.4703625202178955,6,0.7039187784324982,0
43,2.0428827260770874,0,0.5903935730457306,10,0.9462572064874997,0
44,1.7401135111929313,0,0.5648836029900445,10,0.8688242030979175,0
45,2.1922914441292947,0,0.6385224958260854,10,0.9848399773815406,0
46,2.0801625414368137,0,0.6472509420580335,10,0.9561291692593832,0
47,0.2624780203022599,0,0.28929932912190753,4,0.8730271485349639,0
48,1.4852738184048118,0,0.5627647680895669,8,0.9115015848210347,0
49,1.7699011651713572,0,0.41906218727429706,10,0.9490783268652965,0
50,1.1119636698990436,0,0.5650185545285543,10,0.6941826861404048,0
51,0.9050496740433399,0,0.4890730248557197,10,0.7486115174284215,0
52,1.2447250544772894,0,0.5150002787510554,10,0.7330525329331105,0
53,1.6014325595715841,0,0.4967552257908715,10,0.8324039586491075,0
54,1.001520794080322,0,0.5044099007334027,8,0.7453465177899037,0
55,69.11486163441377,0,0.5235828657944998,7,0.9584565718831901,1
56,1.4838336467144757,0,0.4220889475610521,10,0.8002824970073246,0
57,-0.25083770484482537,0,0.3998458683490753,2,0.7491622951551746,0
58,1.1964259965438175,0,0.4718927204608917,6,0.9760418184647353,0
59,70.80358403193915,0,0.8053455054759979,3,0.9709942973276866,1
60,70.68321819743794,0,0.47473205626010895,5,0.9790466742642561,1
61,1.5588163852871684,0,0.46439653303888107,10,0.8210167758383027,0
62,1.889378322703038,0,0.5026626239220301,10,0.9087839974444596,0
63,1.1918929093215138,0,0.5353188746505313,10,0.8173476924891035,0
64,0.3628929549462001,0,0.5358178516228994,7,0.7118304180377907,0
65,0.9819985261328162,0,0.5685234129428863,6,0.8770260720644936,0
