episode,rewards,q_values,td_errors,path_lengths,fidelities,success
0,1.751661530169932,0,0.0,10,0.8728190200700823,0
1,1.605840202836578,0,0.0,10,0.8338416844708767,0
2,1.883701997449936,0,0.0,10,0.9073763011083896,0
3,1.8347235437854708,0,0.0,10,0.8946347675561973,0
4,2.1027070631222564,0,0.0,10,0.9632921688953279,0
5,65.84052993232505,0,0.0,6,0.8855722415416747,1
6,67.44368635286222,0,0.0,4,0.907051529689003,1
7,64.68407995427198,0,0.0,3,0.8397980843616856,1
8,68.88985393623774,0,0.0,8,0.9593095472249525,1
9,60.347037917669915,0,0.0,8,0.778600788013608,1
10,67.52601677890213,0,0.0,8,0.9322791067284398,1
11,1.681950796947088,0,0.0,10,0.8542963799856508,0
12,0.6717861369203315,0,0.0,4,0.9411904940222783,0
13,56.776640540261596,0,0.0,7,0.683498216250099,1
14,2.05747062600343,0,0.0,10,0.951876307728999,0
15,66.51139070861068,0,0.0,5,0.8934876978403844,1
16,1.1064853354768704,0,0.0,8,0.7827497519578155,0
17,58.88351179420775,0,0.0,6,0.7269484361088934,1
18,1.9731824656743502,0,0.0,10,0.9284208218227485,0
19,1.5853866510789791,0,0.0,10,0.8269680156156667,0
20,1.9962921402236637,0,0.0,9,0.9989643472226015,0
21,72.44937085128174,0,0.0,2,0.9989870065633537,1
22,61.04461257025781,0,0.0,5,0.7706464657899391,1
23,67.46691103225643,0,0.0,6,0.9194701265804788,1
24,2.1584897238850336,0,0.0,10,0.977159648680038,0
25,68.56255249765022,0,0.0,2,0.9186007123404087,1
26,0.8431477363566032,0,0.0,5,0.9108419767116136,0
27,67.38485856101973,0,0.0,3,0.8995414237224251,1
28,1.0812877665178338,0,0.0,10,0.6851447211532461,0
29,65.68766767859537,0,0.0,10,0.9068302708966136,1
30,1.6118340247423344,0,0.0,10,0.8343999269684874,0
31,0.9301093061885585,0,0.0,5,0.9607808658830639,0
32,67.30353491810818,0,0.0,9,0.9334214407492784,1
33,1.8517882172173088,0,0.0,10,0.8988001090204695,0
34,1.7872245057005314,0,0.0,10,0.8820832653921045,0
